h_idnumber,sum_head,sum_spouse,hsex,spsex,hyrbirth,heduc,spyrbirth,speduc,P1_2a,J4_1a,J5_3a,R2_1,Q2_5a,Q2_5b,Q4_1a,Q4_2a,Q4_3a,Q4_1b,Q4_2b,Q4_3b,S_1a,S_1b,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,class_mig
1_501_154,4,8,Male,Female,1978,Class I-IV (Incomplete PE),1983,Class I-IV (Incomplete PE),5,No,0,No,No,No,Only one or two months,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_155,0,3,Male,Female,1974,Class V (Complete PE),1979,Class V (Complete PE),16,No,0,No,No,No,Some months but not every month,Only one or two months,Some months but not every month,Only one or two months,Only one or two months,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_156,0,7,Male,Female,1982,Class VI-IX (Incomplete SE),1987,Class VI-IX (Incomplete SE),5,No,0,No,No,Yes,Never,Only one or two months,Only one or two months,Never,Some months but not every month,Some months but not every month,Very much,Somewhat,Decrease,Decrease,Decrease,Increase,Increase,non_movers
1_501_157,1,4,Male,Female,1986,Class I-IV (Incomplete PE),1992,Class VI-IX (Incomplete SE),3,No,15,Yes,No,Yes,Never,Almost every month,Some months but not every month,Almost every month,Some months but not every month,Some months but not every month,Very much,Very much,No Change,Increase,Decrease,No Change,Decrease,non_movers
1_501_158,11,9,Male,Female,1990,Class I-IV (Incomplete PE),1994,No Schooling,0,No,15,Yes,No,No,Some months but not every month,Some months but not every month,Never,Never,Never,Some months but not every month,Very much,Very much,Decrease,Decrease,Decrease,No Change,Decrease,non_movers
1_501_159,1,0,Male,Female,1983,Class VI-IX (Incomplete SE),1989,Class VI-IX (Incomplete SE),2,No,0,Yes,No,No,Only one or two months,Almost every month,Only one or two months,Some months but not every month,Almost every month,Never,NA,Somewhat,Increase,No Change,Increase,Decrease,Increase,movers
1_501_16,11,17,Male,Female,1951,Class I-IV (Incomplete PE),1957,Class I-IV (Incomplete PE),11,Yes,0,No,Yes,No,Some months but not every month,Some months but not every month,Only one or two months,Never,Never,Never,Very much,Very much,Increase,Increase,Increase,Increase,Increase,non_movers
1_501_160,0,4,Male,Female,1959,Class I-IV (Incomplete PE),1968,Class I-IV (Incomplete PE),11,No,0,No,No,No,Some months but not every month,Some months but not every month,Almost every month,Almost every month,Only one or two months,Almost every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_161,13,7,Male,Female,1956,No Schooling,1960,No Schooling,0,No,0,Yes,Yes,Yes,Almost every month,Only one or two months,Some months but not every month,Almost every month,Never,Never,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_162,0,2,Male,Female,1977,Class VI-IX (Incomplete SE),1982,SSC (Complete SE),2,No,0,Yes,No,No,Never,Only one or two months,Only one or two months,Almost every month,Almost every month,Almost every month,Very much,Very much,Increase,Decrease,Increase,No Change,Increase,movers
1_501_163,5,NA,Female,Male,1949,Class I-IV (Incomplete PE),1952,Class V (Complete PE),14,No,0,No,Yes,Yes,Almost every month,Almost every month,Never,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_164,2,7,Male,Female,1975,Class I-IV (Incomplete PE),1984,Class I-IV (Incomplete PE),2,No,0,No,No,No,Only one or two months,Almost every month,Some months but not every month,Some months but not every month,Some months but not every month,Only one or two months,Very much,Somewhat,Decrease,Increase,Decrease,Decrease,Decrease,non_movers
1_501_165,17,3,Male,Female,1984,Class I-IV (Incomplete PE),1992,Class I-IV (Incomplete PE),2,No,0,No,Yes,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Almost every month,Some months but not every month,Very much,Not at all,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_166,4,0,Female,Male,1986,Class I-IV (Incomplete PE),1982,Class V (Complete PE),26,No,0,No,No,No,Almost every month,Almost every month,Almost every month,Some months but not every month,Almost every month,Almost every month,Very much,NA,Increase,Increase,Increase,Decrease,Increase,non_movers
1_501_167,4,NA,Female,NA,1964,Class VI-IX (Incomplete SE),NA,NA,33,Yes,0,No,No,NA,Some months but not every month,Only one or two months,Never,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,No Change,Increase,movers
1_501_168,1,7,Male,Female,1957,Class VI-IX (Incomplete SE),1964,Class VI-IX (Incomplete SE),17,No,1,No,No,No,Only one or two months,Some months but not every month,Some months but not every month,Some months but not every month,Almost every month,Only one or two months,Very much,Somewhat,Decrease,Increase,Decrease,Decrease,Decrease,non_movers
1_501_169,3,3,Male,Female,1960,University level,1964,Class VI-IX (Incomplete SE),33,No,1,No,No,No,Only one or two months,Some months but not every month,Never,Some months but not every month,Almost every month,Never,Very much,Somewhat,Decrease,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_17,17,19,Male,Female,1972,Class I-IV (Incomplete PE),1976,Class I-IV (Incomplete PE),2.5,No,0,No,Yes,Yes,Never,Only one or two months,Never,Never,Only one or two months,Never,Very much,Very much,No Change,Increase,Increase,Increase,Increase,non_movers
1_501_170,10,8,Male,Female,1946,Class I-IV (Incomplete PE),1965,Class I-IV (Incomplete PE),26,Yes,0,No,Yes,No,Never,Almost every month,Never,Never,Almost every month,Never,Not at all,Very much,Increase,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_171,13,12,Male,Female,1974,Class I-IV (Incomplete PE),1980,Class I-IV (Incomplete PE),5,No,0,Yes,No,Yes,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Somewhat,Somewhat,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_18,2,11,Male,Female,1955,Class VI-IX (Incomplete SE),1978,No Schooling,33,No,2,No,Yes,No,Only one or two months,Only one or two months,Only one or two months,Some months but not every month,Some months but not every month,Some months but not every month,Somewhat,Very much,Decrease,Decrease,Decrease,No Change,Decrease,non_movers
1_501_19,3,8,Male,Female,1957,Class I-IV (Incomplete PE),1962,Class I-IV (Incomplete PE),8,No,0,No,No,No,Some months but not every month,Almost every month,Some months but not every month,Never,Only one or two months,Some months but not every month,Very much,Very much,No Change,Decrease,Decrease,Decrease,Increase,non_movers
1_501_2,19,19,Male,Female,1957,No Schooling,1967,Class V (Complete PE),7,No,1,No,Yes,Yes,Almost every month,Almost every month,Almost every month,Almost every month,Almost every month,Almost every month,Very much,Very much,No Change,Increase,Increase,Increase,Decrease,movers
1_501_20,16,14,Male,Female,1979,Class V (Complete PE),1987,Class VI-IX (Incomplete SE),2,No,0,No,No,No,Never,Never,Never,Never,Never,Never,Very much,Very much,Increase,Increase,Increase,Increase,Increase,movers
1_501_21,7,3,Male,Female,1948,No Schooling,1958,No Schooling,8,No,7,No,No,No,Some months but not every month,Only one or two months,Only one or two months,Some months but not every month,Some months but not every month,Only one or two months,Very much,Very much,Decrease,Decrease,No Change,Decrease,No Change,movers
1_501_22,2,5,Male,Female,1964,No Schooling,1974,No Schooling,8,No,0,No,No,No,Only one or two months,Almost every month,Some months but not every month,Never,Only one or two months,Some months but not every month,Very much,Very much,No Change,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_24,5,1,Male,Female,1973,University level,1978,Class VI-IX (Incomplete SE),80,No,1,No,Yes,No,Never,Almost every month,Only one or two months,Never,Only one or two months,Only one or two months,Somewhat,Somewhat,Decrease,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_25,1,3,Male,Female,1978,University level,1986,SSC (Complete SE),80,No,1,No,No,No,Only one or two months,Almost every month,Only one or two months,Some months but not every month,Only one or two months,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_26,5,16,Male,Female,1962,Class VI-IX (Incomplete SE),1970,Class I-IV (Incomplete PE),16,No,0,No,No,No,Some months but not every month,Some months but not every month,Never,Some months but not every month,Some months but not every month,Never,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_27,2,7,Male,Female,1978,Class VI-IX (Incomplete SE),1987,Class V (Complete PE),10,No,3,No,No,No,Some months but not every month,Almost every month,Almost every month,Never,Some months but not every month,Never,Very much,Very much,No Change,Increase,Decrease,Decrease,Decrease,non_movers
1_501_28,16,NA,Female,NA,1942,No Schooling,NA,NA,2,No,2,No,Yes,NA,Never,Only one or two months,Never,NA,NA,NA,Somewhat,NA,No Change,No Change,Increase,Increase,Increase,non_movers
1_501_29,6,8,Male,Female,1961,No Schooling,1969,No Schooling,2,No,3,Yes,No,Yes,Never,Some months but not every month,Only one or two months,Never,Only one or two months,Almost every month,Very much,Very much,Increase,Decrease,Decrease,Increase,Increase,movers
1_501_30,3,2,Male,Female,1965,Class I-IV (Incomplete PE),1967,Class I-IV (Incomplete PE),1,No,0,No,No,Yes,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Almost every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_31,0,9,Male,Female,1963,Class VI-IX (Incomplete SE),1975,No Schooling,16,No,0,No,Yes,No,Never,Never,Never,Never,Never,Never,Somewhat,Somewhat,Increase,Decrease,Decrease,Increase,Increase,non_movers
1_501_32,3,NA,Female,Male,1972,No Schooling,1961,Class VI-IX (Incomplete SE),10,No,3,No,No,NA,Some months but not every month,Some months but not every month,Some months but not every month,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_33,14,NA,Female,Male,1970,Class I-IV (Incomplete PE),1957,Class I-IV (Incomplete PE),3,No,1,Yes,Yes,NA,Almost every month,Some months but not every month,Never,NA,NA,NA,Very much,NA,No Change,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_34,13,15,Male,Female,1958,Class I-IV (Incomplete PE),1967,Class I-IV (Incomplete PE),16,No,3,No,No,No,Never,Some months but not every month,Some months but not every month,Never,Some months but not every month,Some months but not every month,Somewhat,Somewhat,Increase,Increase,Increase,Increase,Increase,non_movers
1_501_35,9,5,Male,Female,1962,Class VI-IX (Incomplete SE),1985,Class VI-IX (Incomplete SE),24,No,0,No,No,Yes,Some months but not every month,Almost every month,Almost every month,Never,Some months but not every month,Never,Very much,Very much,Increase,Decrease,Decrease,Increase,Decrease,non_movers
1_501_36,6,6,Male,Female,1950,Class VI-IX (Incomplete SE),1980,No Schooling,2,No,5,Yes,No,Yes,Never,Only one or two months,Some months but not every month,Never,Some months but not every month,Only one or two months,Somewhat,Not at all,Increase,Decrease,Decrease,Increase,Increase,movers
1_501_37,0,4,Male,Female,1962,No Schooling,1972,No Schooling,12,No,0,No,No,No,Only one or two months,Only one or two months,Only one or two months,Some months but not every month,Some months but not every month,Only one or two months,Very much,Somewhat,Increase,Decrease,Decrease,Increase,Increase,non_movers
1_501_38,10,4,Male,Female,1969,No Schooling,1975,Class VI-IX (Incomplete SE),3,No,5,No,Yes,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Very much,Very much,Increase,Increase,Decrease,No Change,Increase,non_movers
1_501_39,6,5,Male,Female,1977,No Schooling,1985,Class I-IV (Incomplete PE),3,Yes,3,No,No,No,Never,Only one or two months,Some months but not every month,Only one or two months,Never,Some months but not every month,Somewhat,Very much,Increase,Increase,Increase,Increase,Increase,movers
1_501_4,3,6,Male,Female,1986,Class I-IV (Incomplete PE),1989,SSC (Complete SE),8,No,0,No,No,No,Some months but not every month,Almost every month,Some months but not every month,Almost every month,Almost every month,Never,Not at all,Somewhat,Increase,Decrease,Decrease,Increase,Decrease,movers
1_501_40,1,11,Male,Female,1960,Class I-IV (Incomplete PE),1971,Class I-IV (Incomplete PE),6,No,0,No,Yes,Yes,Never,Almost every month,Almost every month,Almost every month,Almost every month,Only one or two months,Very much,Somewhat,No Change,Decrease,Decrease,Decrease,Decrease,movers
1_501_41,8,6,Male,Female,1937,No Schooling,1947,No Schooling,2,No,0,No,Yes,Yes,Almost every month,Some months but not every month,Some months but not every month,Almost every month,Only one or two months,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_42,10,NA,Female,NA,1978,No Schooling,NA,NA,1,No,5,No,Yes,NA,Never,Some months but not every month,Only one or two months,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,Increase,Increase,non_movers
1_501_43,6,4,Male,Female,1979,No Schooling,1982,Class VI-IX (Incomplete SE),4,No,10,No,No,No,Never,Almost every month,Never,Never,Some months but not every month,Some months but not every month,Very much,Somewhat,Increase,Increase,Decrease,Increase,Increase,non_movers
1_501_44,9,3,Male,Female,1972,No Schooling,1979,No Schooling,9,No,1,No,Yes,No,Never,Only one or two months,Some months but not every month,Only one or two months,Some months but not every month,Almost every month,Somewhat,Very much,Decrease,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_45,0,10,Male,Female,1951,Class VI-IX (Incomplete SE),1968,No Schooling,3,No,2,No,Yes,Yes,Only one or two months,Some months but not every month,Only one or two months,Some months but not every month,Almost every month,Some months but not every month,Very much,Very much,Decrease,Decrease,Increase,Decrease,Increase,non_movers
1_501_46,0,3,Male,Female,1985,Class V (Complete PE),1994,Class VI-IX (Incomplete SE),3,No,2,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Almost every month,Only one or two months,Only one or two months,Very much,Very much,Increase,Decrease,Increase,Decrease,Increase,non_movers
1_501_47,4,0,Male,Female,1988,Class V (Complete PE),1993,Class V (Complete PE),4.5,No,0,Yes,Yes,Yes,Only one or two months,Only one or two months,Only one or two months,Some months but not every month,Only one or two months,Only one or two months,Somewhat,Somewhat,No Change,Decrease,Decrease,No Change,No Change,movers
1_501_48,0,1,Male,Female,1982,SSC (Complete SE),1985,Class VI-IX (Incomplete SE),7,No,5,No,No,No,Some months but not every month,Only one or two months,Only one or two months,Almost every month,Only one or two months,Only one or two months,Somewhat,Very much,No Change,Decrease,Decrease,Increase,Increase,non_movers
1_501_49,13,18,Male,Female,1982,Class VI-IX (Incomplete SE),1991,Class VI-IX (Incomplete SE),10,No,2,No,No,Yes,Never,Never,Never,Never,Some months but not every month,Only one or two months,Very much,Very much,Decrease,Decrease,Decrease,Decrease,Increase,non_movers
1_501_5,4,4,Male,Female,1985,Class V (Complete PE),1996,Class VI-IX (Incomplete SE),12,No,0,No,No,No,Almost every month,Never,Never,Some months but not every month,Some months but not every month,Some months but not every month,Somewhat,Somewhat,Decrease,Decrease,Increase,Decrease,Decrease,movers
1_501_50,5,5,Male,Female,1955,No Schooling,1962,No Schooling,10,No,5,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,Only one or two months,Some months but not every month,Not at all,Very much,Decrease,Decrease,Increase,Decrease,Decrease,movers
1_501_51,1,1,Male,Female,1984,SSC (Complete SE),1989,Class VI-IX (Incomplete SE),3,No,2,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Very much,Somewhat,Increase,Decrease,Decrease,No Change,Increase,non_movers
1_501_52,17,17,Male,Female,1959,No Schooling,1965,Class I-IV (Incomplete PE),4.5,No,1,No,Yes,Yes,Some months but not every month,Some months but not every month,Almost every month,Some months but not every month,Almost every month,Almost every month,Somewhat,Somewhat,Increase,Increase,Decrease,Increase,Increase,non_movers
1_501_53,9,NA,Female,NA,1987,Class I-IV (Incomplete PE),NA,NA,5,Yes,5,No,Yes,NA,Almost every month,Some months but not every month,Some months but not every month,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,Increase,Increase,movers
1_501_54,0,10,Male,Female,1980,Class I-IV (Incomplete PE),1986,Class I-IV (Incomplete PE),2,No,0,No,No,Yes,Some months but not every month,Some months but not every month,Only one or two months,Almost every month,Some months but not every month,Never,NA,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_55,10,9,Male,Female,1964,Class I-IV (Incomplete PE),1971,No Schooling,7,No,0,No,Yes,Yes,Almost every month,Almost every month,Never,Never,Some months but not every month,Never,Very much,Very much,Decrease,Decrease,Increase,No Change,Decrease,non_movers
1_501_56,2,5,Male,Female,1976,SSC (Complete SE),1982,Class VI-IX (Incomplete SE),44,No,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Only one or two months,Only one or two months,Very much,Very much,No Change,Decrease,Increase,Decrease,Increase,non_movers
1_501_57,5,12,Male,Female,1978,No Schooling,1984,Class I-IV (Incomplete PE),2,No,15,No,Yes,Yes,Never,Almost every month,Almost every month,Never,Some months but not every month,Some months but not every month,Somewhat,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_59,13,6,Male,Female,1975,Class V (Complete PE),1977,Class I-IV (Incomplete PE),33,No,1,No,Yes,Yes,Never,Never,Only one or two months,Only one or two months,Never,Some months but not every month,Somewhat,Somewhat,Decrease,Decrease,Decrease,Increase,Decrease,non_movers
1_501_6,6,10,Male,Female,1971,No Schooling,1980,No Schooling,13,No,0,Yes,Yes,Yes,Only one or two months,Only one or two months,Almost every month,Only one or two months,Only one or two months,Almost every month,Very much,Very much,Decrease,No Change,Increase,Decrease,No Change,movers
1_501_60,5,3,Male,Female,1955,Class VI-IX (Incomplete SE),1959,Class I-IV (Incomplete PE),30,No,2,No,No,Yes,Never,Only one or two months,Only one or two months,Only one or two months,Some months but not every month,Never,Very much,Somewhat,Decrease,No Change,Decrease,Decrease,Decrease,movers
1_501_61,0,7,Male,Female,1960,Class I-IV (Incomplete PE),1978,Class VI-IX (Incomplete SE),42,No,30,No,No,Yes,Some months but not every month,Almost every month,Only one or two months,Never,Never,Never,Somewhat,Somewhat,Decrease,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_62,13,16,Male,Female,1968,Class VI-IX (Incomplete SE),1980,Class I-IV (Incomplete PE),9.5,No,1,No,Yes,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Somewhat,Somewhat,No Change,Decrease,Decrease,No Change,No Change,non_movers
1_501_63,4,10,Male,Female,1971,No Schooling,1977,No Schooling,6,No,5,Yes,Yes,Yes,Never,Almost every month,Never,Never,Almost every month,Never,Somewhat,Very much,Increase,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_64,4,2,Male,Female,1977,University level,1979,SSC (Complete SE),12,No,0,No,No,No,Almost every month,Almost every month,Almost every month,Some months but not every month,Some months but not every month,Almost every month,Somewhat,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_65,7,NA,Female,NA,1971,Class I-IV (Incomplete PE),NA,NA,39,No,1,No,Yes,NA,Almost every month,Almost every month,Almost every month,NA,NA,NA,Very much,NA,Increase,Decrease,Increase,Decrease,Increase,non_movers
1_501_66,7,NA,Female,Male,1984,Class I-IV (Incomplete PE),1972,Class V (Complete PE),5,No,0,No,Yes,NA,Almost every month,Almost every month,Some months but not every month,NA,NA,NA,Very much,NA,Increase,Increase,Decrease,Decrease,Decrease,movers
1_501_68,2,4,Male,Female,1962,No Schooling,1969,Class I-IV (Incomplete PE),2,No,2,No,No,No,Some months but not every month,Never,Never,Only one or two months,Never,Never,Very much,Very much,No Change,Decrease,Increase,No Change,No Change,non_movers
1_501_69,13,16,Male,Female,1959,No Schooling,1978,No Schooling,1,No,30,Yes,Yes,Yes,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Very much,Very much,Decrease,Increase,Increase,Increase,Increase,non_movers
1_501_7,7,2,Male,Female,1952,Class I-IV (Incomplete PE),1962,No Schooling,2,Yes,1,No,Yes,No,Almost every month,Only one or two months,Only one or two months,Some months but not every month,Only one or two months,Only one or two months,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_70,3,11,Male,Female,1978,Class I-IV (Incomplete PE),1986,Class VI-IX (Incomplete SE),2,No,6,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Never,Some months but not every month,Some months but not every month,Somewhat,Somewhat,Increase,Increase,No Change,Decrease,Increase,movers
1_501_71,2,3,Male,Female,1968,Class I-IV (Incomplete PE),1975,Class I-IV (Incomplete PE),3,No,5,No,No,No,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Somewhat,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_72,14,NA,Female,Male,1979,No Schooling,1967,Class I-IV (Incomplete PE),3,No,3,Yes,Yes,NA,Never,Some months but not every month,Some months but not every month,NA,NA,NA,Somewhat,NA,Increase,Decrease,Decrease,Increase,Increase,non_movers
1_501_73,9,2,Female,Male,1986,Class VI-IX (Incomplete SE),1974,Class V (Complete PE),2,No,5,No,No,No,Almost every month,Only one or two months,Only one or two months,Some months but not every month,Some months but not every month,Some months but not every month,Somewhat,NA,Increase,Decrease,Increase,Decrease,Increase,movers
1_501_75,14,13,Male,Female,1984,Class I-IV (Incomplete PE),1988,Class VI-IX (Incomplete SE),3,No,5,No,Yes,Yes,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Very much,Somewhat,Decrease,Decrease,Decrease,Decrease,Increase,non_movers
1_501_77,0,10,Male,Female,1968,Class I-IV (Incomplete PE),1982,Class I-IV (Incomplete PE),7,No,5,No,No,No,Some months but not every month,Some months but not every month,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_78,10,7,Male,Female,1972,No Schooling,1976,Class V (Complete PE),6,No,6,No,Yes,Yes,Almost every month,Almost every month,Some months but not every month,Never,Some months but not every month,Never,Very much,Somewhat,Increase,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_79,10,6,Male,Female,1951,Class I-IV (Incomplete PE),1964,No Schooling,10,Yes,0,No,Yes,No,Only one or two months,Some months but not every month,Never,Some months but not every month,Only one or two months,Never,Not at all,Not at all,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_8,1,3,Male,Female,1982,Class V (Complete PE),1994,Class VI-IX (Incomplete SE),2,No,3,No,No,No,Some months but not every month,Some months but not every month,Never,Almost every month,Almost every month,Never,Very much,Very much,Increase,Increase,Increase,Decrease,Increase,movers
1_501_80,4,4,Male,Female,1959,Class I-IV (Incomplete PE),1970,No Schooling,10,No,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Only one or two months,Some months but not every month,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,No Change,Decrease,non_movers
1_501_81,15,NA,Female,Male,1981,Class I-IV (Incomplete PE),1973,Class V (Complete PE),7,No,0,Yes,Yes,No,Never,Never,Never,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,Increase,Increase,non_movers
1_501_82,3,2,Male,Female,1967,Class I-IV (Incomplete PE),1977,Class I-IV (Incomplete PE),8,No,0,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Only one or two months,Only one or two months,Only one or two months,Very much,Very much,Increase,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_83,3,NA,Female,Male,1978,Class VI-IX (Incomplete SE),1970,Class I-IV (Incomplete PE),9,No,5,No,No,No,Only one or two months,Only one or two months,Only one or two months,NA,NA,NA,Very much,NA,No Change,Increase,Increase,Decrease,No Change,non_movers
1_501_84,2,2,Male,Female,1965,Class I-IV (Incomplete PE),1972,Class I-IV (Incomplete PE),6,No,1,No,No,No,Some months but not every month,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Very much,Very much,Decrease,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_85,10,9,Male,Female,1984,Class V (Complete PE),1990,SSC (Complete SE),4,No,0,No,No,No,Never,Never,Never,Only one or two months,Never,Never,Somewhat,Somewhat,Increase,Increase,Increase,Increase,Increase,movers
1_501_86,6,11,Male,Female,1972,Class I-IV (Incomplete PE),1983,Class I-IV (Incomplete PE),3,No,30,Yes,No,Yes,Only one or two months,Only one or two months,Some months but not every month,Almost every month,Some months but not every month,Some months but not every month,Very much,Somewhat,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_87,0,NA,Female,Male,1988,Class V (Complete PE),1985,Class I-IV (Incomplete PE),3,No,1,No,No,NA,Some months but not every month,Never,Some months but not every month,NA,NA,NA,Somewhat,NA,Decrease,Decrease,Increase,Decrease,Decrease,non_movers
1_501_88,10,NA,Female,Male,1962,No Schooling,1952,No Schooling,4,No,0,No,Yes,NA,Never,Almost every month,Some months but not every month,NA,NA,NA,Very much,NA,Increase,Decrease,Decrease,Decrease,Decrease,non_movers
1_501_89,12,17,Male,Female,1945,No Schooling,1952,No Schooling,11,No,5,No,Yes,Yes,Never,Some months but not every month,Some months but not every month,Never,Some months but not every month,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_9,3,5,Male,Female,1967,Class I-IV (Incomplete PE),1979,Class I-IV (Incomplete PE),66,No,1,No,No,No,Never,Never,Only one or two months,Never,Never,Never,Somewhat,Somewhat,No Change,No Change,No Change,Decrease,No Change,non_movers
1_501_90,3,6,Male,Female,1958,Class I-IV (Incomplete PE),1962,No Schooling,14,No,30,No,No,Yes,Never,Only one or two months,Some months but not every month,Almost every month,Some months but not every month,Some months but not every month,Very much,Somewhat,Decrease,Decrease,Increase,Decrease,Decrease,non_movers
1_501_91,2,9,Male,Female,1976,Class VI-IX (Incomplete SE),1986,Class VI-IX (Incomplete SE),14,No,1,No,No,No,Never,Only one or two months,Some months but not every month,Only one or two months,Almost every month,Only one or two months,Very much,Somewhat,Decrease,Increase,Decrease,Decrease,Decrease,non_movers
1_501_92,4,5,Male,Female,1978,Class I-IV (Incomplete PE),1986,Class VI-IX (Incomplete SE),14,No,1,No,Yes,Yes,Never,Some months but not every month,Only one or two months,Only one or two months,Some months but not every month,Only one or two months,Very much,Very much,No Change,Decrease,Increase,Decrease,No Change,non_movers
1_501_93,8,6,Male,Female,1961,Class I-IV (Incomplete PE),1970,Class I-IV (Incomplete PE),33,No,0,No,No,No,Almost every month,Almost every month,Never,Almost every month,Some months but not every month,Never,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_94,9,9,Male,Female,1984,Class I-IV (Incomplete PE),1989,Class V (Complete PE),3,No,5,No,No,No,Some months but not every month,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Only one or two months,Very much,Very much,Increase,Decrease,Decrease,Decrease,Increase,non_movers
1_501_95,5,2,Male,Female,1978,No Schooling,1963,No Schooling,4,No,0,No,No,No,Almost every month,Only one or two months,Some months but not every month,Almost every month,Some months but not every month,Almost every month,Very much,NA,Decrease,Decrease,Increase,Decrease,Increase,non_movers
1_501_96,6,1,Female,Male,1979,Class VI-IX (Incomplete SE),1974,Class V (Complete PE),4,No,0,No,No,No,Some months but not every month,Only one or two months,Almost every month,Only one or two months,Only one or two months,Almost every month,Very much,NA,Increase,Decrease,Decrease,Decrease,Increase,movers
1_501_97,17,17,Male,Female,1972,Class VI-IX (Incomplete SE),1980,Class V (Complete PE),3,No,7,No,No,No,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Some months but not every month,Very much,Very much,Increase,Decrease,Decrease,Increase,Increase,non_movers
1_501_98,10,8,Male,Female,1951,No Schooling,1960,Class I-IV (Incomplete PE),3,No,30,No,Yes,No,Never,Some months but not every month,Some months but not every month,Only one or two months,Almost every month,Only one or two months,Very much,Somewhat,Decrease,Increase,No Change,Decrease,Decrease,movers
1_501_99,3,5,Male,Female,1977,No Schooling,1981,Class I-IV (Incomplete PE),2,No,5,No,No,Yes,Never,Almost every month,Never,Never,Some months but not every month,Never,Very much,Very much,Increase,Decrease,Decrease,Increase,Increase,non_movers
